string length is 10274
Now -> 2 times
indulgence -> 2 times
dissimilar -> 3 times
for -> 3 times
his -> 10 times
thoroughly -> 1 times
has -> 7 times
terminated. -> 1 times
Agreement -> 1 times
offending -> 2 times
commanded -> 1 times
my -> 6 times
an. -> 1 times
Change -> 1 times
wholly -> 1 times
say -> 5 times
why -> 3 times
eldest -> 2 times
period. -> 1 times
Are -> 1 times
projection -> 1 times
put -> 3 times
celebrated -> 1 times
particular -> 1 times
unreserved -> 3 times
joy -> 4 times
unsatiable -> 1 times
its. -> 2 times
In -> 5 times
then -> 1 times
dare -> 3 times
good -> 1 times
am -> 7 times
rose -> 1 times
bred -> 1 times
or. -> 1 times
On -> 4 times
in -> 15 times
nearer -> 1 times
square -> 1 times
wanted. -> 1 times
Do -> 2 times
eduardo4ever -> 1 times
so -> 17 times
written -> 1 times
as -> 10 times
raising -> 1 times
parlors -> 1 times
spirits -> 2 times
mr -> 8 times
elderly. -> 1 times
Made -> 1 times
late -> 1 times
of -> 9 times
high -> 1 times
left -> 1 times
hold. -> 2 times
Carried -> 1 times
females -> 2 times
up -> 8 times
highest -> 1 times
calling. -> 2 times
Limits -> 1 times
marked -> 1 times
led -> 4 times
silent -> 4 times
dining -> 1 times
her -> 11 times
she -> 8 times
far. -> 1 times
Sir -> 2 times
but -> 6 times
elegance -> 1 times
marriage -> 2 times
dwelling -> 2 times
likewise -> 3 times
position -> 2 times
old -> 4 times
pleasure -> 2 times
men. -> 3 times
Dissimilar -> 1 times
themselves -> 1 times
simplicity -> 2 times
no -> 11 times
contrasted -> 1 times
as. -> 3 times
Delay -> 1 times
great -> 1 times
day -> 5 times
hours -> 3 times
Stuff -> 1 times
front -> 1 times
to -> 13 times
do -> 17 times
allow -> 1 times
asked -> 3 times
he. -> 4 times
For -> 3 times
though -> 3 times
result -> 4 times
and -> 6 times
talent -> 1 times
add -> 6 times
are -> 3 times
parish -> 1 times
valley. -> 1 times
Songs -> 1 times
oh -> 6 times
other -> 2 times
avoid -> 1 times
it -> 12 times
woman -> 1 times
style. -> 2 times
myself -> 1 times
family -> 1 times
if -> 5 times
be -> 5 times
agreed. -> 1 times
Gay -> 2 times
collected -> 1 times
son -> 2 times
him -> 10 times
knowledge -> 1 times
delivered -> 2 times
put. -> 1 times
Added -> 1 times
would -> 1 times
end -> 5 times
ask -> 5 times
sight -> 1 times
saw -> 5 times
dried -> 1 times
house. -> 1 times
Property -> 1 times
expenses -> 1 times
yourself -> 3 times
occasion -> 1 times
endeavor -> 1 times
two -> 2 times
may -> 3 times
judgment -> 2 times
she. -> 2 times
Me -> 2 times
soon -> 2 times
rank -> 2 times
most -> 1 times
head -> 1 times
time -> 1 times
tore. -> 1 times
Colonel -> 1 times
or -> 10 times
passage -> 2 times
ability. -> 1 times
Picture -> 1 times
removal -> 2 times
detract -> 1 times
earnest -> 1 times
is -> 5 times
by. -> 3 times
Esteems -> 1 times
met -> 4 times
attempt -> 2 times
way -> 2 times
clothes -> 1 times
yet -> 8 times
demesne -> 2 times
tedious. -> 1 times
Replying -> 1 times
an -> 13 times
marianne -> 1 times
entrance -> 3 times
advanced. -> 1 times
Two -> 1 times
play -> 1 times
when -> 1 times
Required -> 1 times
bringing -> 1 times
me -> 5 times
material -> 1 times
stanhill -> 2 times
jointure -> 1 times
Mutual -> 1 times
indeed -> 1 times
living -> 2 times
matter -> 1 times
bed -> 2 times
whence. -> 1 times
principles -> 1 times
discovered -> 2 times
off -> 5 times
increasing -> 2 times
how -> 4 times
reasonably -> 1 times
middletons -> 1 times
Add -> 1 times
seems -> 1 times
out -> 3 times
man -> 6 times
plate -> 1 times
court -> 2 times
sense. -> 1 times
His -> 1 times
worth -> 1 times
truth -> 2 times
given. -> 1 times
All -> 1 times
year -> 1 times
feet -> 1 times
view -> 2 times
went -> 2 times
sake. -> 1 times
You -> 2 times
agreeable -> 2 times
breakfast -> 3 times
set -> 2 times
perceived -> 1 times
immediate. -> 1 times
Stimulated -> 1 times
projectinWorse -> 1 times
downs -> 1 times
nor -> 4 times
might -> 1 times
did -> 2 times
nay -> 9 times
forth -> 2 times
these. -> 1 times
Must -> 1 times
you -> 6 times
with -> 1 times
from -> 1 times
were -> 1 times
more. -> 1 times
should -> 1 times
remark -> 2 times
vanity -> 2 times
square. -> 1 times
Unpleasant -> 1 times
especially -> 2 times
assistance -> 2 times
sufficient -> 2 times
he -> 16 times
comparison -> 2 times
inquietude. -> 1 times
Branch -> 1 times
one -> 3 times
shy -> 3 times
edward -> 1 times
stairs -> 1 times
turned -> 1 times
law -> 2 times
wonder -> 2 times
horses. -> 2 times
Devonshire -> 1 times
invitation -> 1 times
the -> 4 times
excellence -> 4 times
preference. -> 1 times
Objection -> 1 times
estimable -> 3 times
discourse -> 5 times
procuring -> 2 times
remaining -> 1 times
on -> 9 times
distrusts. -> 1 times
Simplicity -> 1 times
affronting -> 1 times
inquietude -> 1 times
now -> 3 times
sympathize -> 2 times
age. -> 1 times
She -> 2 times
meant -> 1 times
new -> 2 times
their -> 1 times
sex -> 3 times
could -> 3 times
defer -> 1 times
child. -> 1 times
An -> 3 times
lose -> 1 times
at -> 12 times
quit -> 1 times
life -> 1 times
dull. -> 1 times
Residence -> 1 times
certainly -> 1 times
elsewhere -> 2 times
something -> 5 times
preferred -> 3 times
cordially -> 1 times
law. -> 2 times
Age -> 1 times
surprise -> 2 times
formerly -> 2 times
mrs -> 4 times
perceive -> 1 times
few -> 4 times
moderate. -> 1 times
Of -> 1 times
power -> 1 times
match -> 2 times
worse -> 3 times
voice -> 1 times
would. -> 1 times
Large -> 1 times
sense -> 3 times
shall -> 1 times
learn. -> 1 times
By -> 1 times
expect -> 1 times
formal -> 1 times
of. -> 3 times
Ask -> 1 times
eat -> 2 times
questions -> 1 times
abilities -> 2 times
described -> 1 times
assurance. -> 1 times
Appetite -> 1 times
unlocked -> 1 times
advanced -> 2 times
breeding -> 1 times
concerns -> 2 times
Cheerful -> 1 times
get -> 2 times
shutters -> 1 times
repeated -> 3 times
screened. -> 2 times
cause -> 2 times
hopes -> 1 times
three. -> 1 times
Prevent -> 1 times
behaved -> 2 times
fertile -> 2 times
mistake -> 1 times
on. -> 1 times
Surprise -> 1 times
steepest -> 1 times
recurred -> 1 times
landlord -> 1 times
wandered -> 2 times
amounted -> 1 times
Continuing -> 2 times
devonshire -> 1 times
considered -> 1 times
Rose -> 1 times
past -> 1 times
shew -> 1 times
roof -> 1 times
song -> 1 times
neat. -> 1 times
depend -> 1 times
better -> 2 times
praise -> 2 times
friend -> 2 times
garden -> 3 times
to. -> 3 times
Intention -> 1 times
age -> 3 times
otherwise -> 1 times
breakfast. -> 1 times
Around -> 1 times
beyond -> 1 times
extent -> 2 times
Husbands -> 1 times
resolved -> 2 times
laughter -> 2 times
debating. -> 1 times
cordial -> 3 times
visitor -> 1 times
noisier -> 1 times
fat -> 2 times
subject -> 1 times
general -> 1 times
picture. -> 1 times
Or -> 2 times
offering -> 3 times
confined -> 1 times
no. -> 2 times
Nay -> 1 times
rapturous -> 1 times
see -> 5 times
residence. -> 1 times
Highly -> 1 times
talked -> 2 times
vulgar. -> 1 times
Her -> 2 times
use -> 3 times
natural -> 1 times
feeling. -> 1 times
Exquisite -> 1 times
incommode -> 1 times
immediate -> 1 times
ourselves -> 2 times
Law -> 1 times
conduct -> 1 times
chiefly -> 1 times
beloved -> 1 times
examine -> 1 times
village -> 1 times
proceed. -> 1 times
Performed -> 1 times
suspicion -> 1 times
certainty -> 2 times
frankness -> 3 times
by -> 3 times
attention -> 1 times
pretended. -> 1 times
Newspaper -> 1 times
tolerably -> 2 times
education -> 2 times
enjoyment. -> 1 times
Extremity -> 2 times
excellent -> 2 times
sincerity -> 2 times
resembled. -> 1 times
Joy -> 1 times
house -> 1 times
arise -> 1 times
total -> 1 times
boy -> 4 times
but. -> 1 times
Elderly -> 2 times
chicken -> 1 times
feeling -> 1 times
is. -> 1 times
Like -> 1 times
seen -> 1 times
drew -> 1 times
make -> 1 times
fond -> 2 times
rent. -> 1 times
Behaviour -> 1 times
extremely -> 2 times
explained -> 2 times
situation -> 1 times
september -> 1 times
gentleman -> 1 times
who. -> 2 times
Is -> 2 times
thought -> 2 times
